features,rows_total,k,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,cohen_kappa
pipeline\dataset\features_normalized_hsv.csv,9450,1,0.56421718120423,0.26556546051061447,0.26054471697719306,0.2543745215842398,0.5679553519055586,0.542041907131349
pipeline\dataset\features_normalized_hsv.csv,9450,3,0.5643662913941228,0.25213174855520154,0.24322994984227903,0.2408720166708338,0.5647865172502048,0.5418800152467709
pipeline\dataset\features_normalized_hsv.csv,9450,5,0.5936868591131473,0.2721438540169263,0.26004785666229374,0.2581567162280331,0.5872510929932907,0.5721814906441741
pipeline\dataset\features_normalized_hsv.csv,9450,7,0.5986713443114655,0.26504067322417524,0.25404436859964136,0.2518342452710536,0.5868211435853123,0.5770368961804896
pipeline\dataset\features_normalized_hsv.csv,9450,9,0.6044406626715803,0.2556407449981505,0.24792529292636023,0.24414825799587828,0.5875189058169373,0.5828000599736062
pipeline\dataset\features_normalized_hsv.csv,9450,11,0.6133006564381599,0.2556439483405349,0.24451532990410235,0.24015420453532818,0.5920943274548691,0.5918246591106302
pipeline\dataset\features_normalized_hsv.csv,9450,15,0.6196452297791509,0.2633592808602582,0.24313573421788273,0.23957886204124043,0.5938552068969766,0.5982340881903765
pipeline\dataset\features_normalized_hsv.csv,9450,21,0.6232249754470752,0.2456143891881372,0.2402153492298365,0.2324965338861391,0.5915390923778754,0.6017026642727424
pipeline\dataset\features_normalized_hsv.csv,9450,31,0.6326691802222252,0.25001981868187917,0.23932634334297836,0.23048536693289504,0.5932017526858344,0.6112327113324317
