features,k,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,cohen_kappa
pipeline\dataset\features.csv,1,0.4636363636363636,0.2518142777606935,0.24997828694379962,0.23200581728173642,0.47526189124543333,0.44246167805731323
pipeline\dataset\features.csv,3,0.4898181818181818,0.26056113232587585,0.2564086426525182,0.23713385969628656,0.4931526205383197,0.4689260992298294
pipeline\dataset\features.csv,5,0.5,0.26491240124167525,0.26683305174424626,0.24164635869413117,0.49589473398229555,0.47900320922153494
pipeline\dataset\features.csv,7,0.5061818181818182,0.2560999501065313,0.2604425153173059,0.23487535729278863,0.49669949198456725,0.4850564367336346
pipeline\dataset\features.csv,9,0.5118181818181818,0.25560883591262235,0.2620119778052747,0.23544666087117191,0.4990761988328995,0.49066723802005074
pipeline\dataset\features.csv,11,0.5103636363636364,0.24172494405130845,0.2516890099948094,0.2259790128677303,0.4944160518220654,0.48891449031575385
pipeline\dataset\features.csv,15,0.5052727272727273,0.2263092848161099,0.23958700041447392,0.21283060015773742,0.48468103658128453,0.48321759385269913
pipeline\dataset\features.csv,21,0.5125454545454545,0.22117569786481253,0.23350448997687814,0.20635847397678914,0.4823875666976042,0.49000688959677097
pipeline\dataset\features.csv,31,0.5247272727272727,0.19741621263007786,0.22271357722943685,0.19197616588389635,0.476817127317958,0.5013635331477531
