event_center_hsv,distance_weight_profile,accuracy,f1_macro,f1_weighted,cohen_kappa,latency_ms_per_run,latency_ms_per_prediction
off,analyte-v1,0.22285714285714286,0.11867291444086367,0.2157624240999682,0.2058882683255675,628.3576000000721,0.06649286772487535
off,legacy,0.21883597883597883,0.1155058863972452,0.20863451940511055,0.20211282108857265,545.817500000112,0.05775846560847746
on,analyte-v1,0.20613756613756615,0.11331867005771648,0.1983333935235057,0.19007139043965293,489.83659999998963,0.05183456084655975
on,legacy,0.20687830687830688,0.11305245267627267,0.20252015635822415,0.19076423691784783,438.01540000004024,0.04635083597884024
